Geography,Projection scenario LG: low-growth 3,Projection scenario M1: medium-growth 3,Projection scenario M2: medium-growth 3,Projection scenario M3: medium-growth 3,Projection scenario M4: medium-growth 3,Projection scenario M5: medium-growth 3,Projection scenario M6: medium-growth 3,Projection scenario HG: high-growth 3,Projection scenario SA: slow-aging 3,Projection scenario FA: fast-aging 3
"Turner Valley, Alberta","2,426","2,645","2,659","2,528","2,548","2,456","2,857","2,907","2,782","2,543"
"Big Lakes County, Alberta","2,443","2,744","2,764","2,616","2,630","2,507","2,965","3,087","2,998","2,526"
"Two Hills, Alberta","2,484","2,841","2,893","2,730","2,746","2,576","3,103","3,282","3,200","2,542"
"Jasper, Alberta","2,491","2,729","2,739","2,597","2,619","2,508","2,939","3,007","2,888","2,594"
"Bighorn No. 8, Alberta","2,522","2,763","2,807","2,667","2,688","2,519","2,992","3,063","2,971","2,587"
"Saddle Hills County, Alberta","2,526","2,850","2,885","2,735","2,751","2,594","3,098","3,242","3,160","2,592"
"Fairview, Alberta","2,542","2,858","2,893","2,730","2,752","2,599","3,098","3,241","3,151","2,605"
"Samson 137, Alberta","2,549","2,820","2,860","2,711","2,728","2,574","3,049","3,156","3,042","2,636"
"Grimshaw, Alberta","2,671","2,934","2,952","2,795","2,822","2,705","3,171","3,255","3,119","2,781"
"Smoky Lake County, Alberta","2,778","3,124","3,163","2,987","3,004","2,850","3,393","3,534","3,422","2,860"
"Redwater, Alberta","2,790","3,124","3,153","2,987","3,000","2,849","3,377","3,492","3,370","2,908"
"Siksika 146, Alberta","2,824","3,203","3,254","3,073","3,093","2,911","3,482","3,652","3,565","2,908"
"Black Diamond, Alberta","2,887","3,170","3,207","3,042","3,062","2,901","3,435","3,513","3,404","2,975"
"Wainwright No. 61, Alberta","2,912","3,231","3,264","3,093","3,114","2,966","3,494","3,625","3,510","3,004"
"Stoney 142, 143, 144, Alberta","2,932","3,291","3,334","3,142","3,159","2,998","3,573","3,718","3,604","3,025"
"Two Hills County No. 21, Alberta","2,941","3,354","3,400","3,211","3,222","3,040","3,646","3,838","3,731","3,021"
"Nanton, Alberta","3,012","3,344","3,401","3,211","3,225","3,055","3,629","3,756","3,632","3,112"
"Gibbons, Alberta","3,183","3,523","3,563","3,385","3,396","3,224","3,805","3,936","3,785","3,308"
"Bow Island, Alberta","3,250","3,726","3,785","3,583","3,590","3,369","4,054","4,298","4,185","3,333"
"Woodlands County, Alberta","3,266","3,689","3,737","3,531","3,549","3,350","3,999","4,183","4,074","3,350"
"Opportunity No. 17, Alberta","3,359","3,929","3,992","3,752","3,784","3,552","4,296","4,605","4,513","3,428"
"Coalhurst, Alberta","3,426","3,895","3,975","3,759","3,765","3,523","4,228","4,470","4,359","3,492"
"Pincher Creek, Alberta","3,461","3,861","3,908","3,708","3,720","3,526","4,192","4,340","4,218","3,551"
"Cardston County, Alberta","3,502","3,878","3,911","3,703","3,728","3,558","4,194","4,329","4,163","3,638"
"Tsuu T'ina Nation 145, Alberta","3,565","4,108","4,200","3,966","3,977","3,701","4,492","4,761","4,663","3,631"
"Didsbury, Alberta","3,660","4,007","4,040","3,832","3,860","3,696","4,327","4,429","4,248","3,824"
"Fox Lake 162, Alberta","3,664","4,352","4,444","4,180","4,203","3,908","4,769","5,180","5,089","3,717"
"Penhold, Alberta","3,748","4,132","4,175","3,971","3,980","3,788","4,456","4,586","4,407","3,905"
"Vermilion, Alberta","3,759","4,159","4,195","3,989","4,005","3,813","4,493","4,638","4,487","3,890"
"Three Hills, Alberta","3,827","4,233","4,293","4,075","4,086","3,858","4,573","4,732","4,589","3,939"
"Forty Mile County No. 8, Alberta","3,895","4,481","4,559","4,301","4,307","4,051","4,873","5,180","5,053","3,984"
"Kneehill County, Alberta","3,922","4,345","4,403","4,180","4,191","3,972","4,706","4,853","4,689","4,056"
"Picture Butte, Alberta","3,963","4,600","4,692","4,433","4,432","4,145","5,015","5,357","5,252","4,045"
"Cardston, Alberta","3,992","4,525","4,586","4,333","4,350","4,103","4,921","5,146","5,016","4,091"
"Claresholm, Alberta","4,096","4,500","4,518","4,293","4,325","4,162","4,854","4,999","4,781","4,274"
"Stettler County No. 6, Alberta","4,116","4,598","4,636","4,401","4,417","4,202","4,977","5,154","4,990","4,264"
"Vulcan County, Alberta","4,445","4,986","5,057","4,792","4,812","4,537","5,421","5,636","5,463","4,581"
"Athabasca County, Alberta","4,526","5,004","5,056","4,796","4,828","4,578","5,420","5,577","5,402","4,670"
"Willow Creek No. 26, Alberta","4,530","5,052","5,072","4,805","4,841","4,654","5,441","5,678","5,418","4,750"
"Barrhead, Alberta","4,530","5,074","5,129","4,859","4,882","4,644","5,507","5,744","5,570","4,669"
"Warner County No. 5, Alberta","4,669","5,247","5,327","5,045","5,062","4,779","5,694","5,950","5,781","4,809"
"Barrhead County No. 11, Alberta","4,702","5,300","5,377","5,088","5,114","4,826","5,768","6,014","5,853","4,834"
"Redcliff, Alberta","4,761","5,182","5,228","4,984","5,001","4,762","5,586","5,679","5,469","4,953"
"Lamont County, Alberta","4,821","5,335","5,386","5,114","5,139","4,873","5,782","5,952","5,777","4,962"
"Crowsnest Pass, Alberta","4,924","5,391","5,435","5,157","5,196","4,945","5,841","5,960","5,749","5,090"
"Stettler, Alberta","5,085","5,650","5,693","5,390","5,439","5,188","6,108","6,310","6,128","5,242"
"Vermilion River County, Alberta","5,181","5,775","5,841","5,533","5,562","5,282","6,254","6,484","6,272","5,351"
"St. Paul County No. 19, Alberta","5,229","5,820","5,878","5,560","5,601","5,329","6,308","6,517","6,307","5,416"
"Beaver County, Alberta","5,539","6,237","6,319","5,986","6,005","5,663","6,775","7,066","6,878","5,677"
"Brazeau County, Alberta","5,562","6,096","6,142","5,831","5,877","5,609","6,594","6,745","6,477","5,799"
"Cypress County, Alberta","5,701","6,335","6,435","6,101","6,113","5,766","6,864","7,100","6,906","5,858"
"St. Paul, Alberta","5,706","6,356","6,469","6,132","6,148","5,767","6,883","7,126","6,937","5,869"
"Crossfield, Alberta","5,735","6,350","6,444","6,113","6,136","5,786","6,896","7,110","6,915","5,882"
"Westlock, Alberta","5,839","6,456","6,514","6,179","6,224","5,911","7,002","7,192","6,973","6,022"
"Carstairs, Alberta","5,852","6,497","6,572","6,222","6,259","5,938","7,036","7,253","6,996","6,073"
"Vegreville, Alberta","5,872","6,497","6,538","6,206","6,236","5,963","7,018","7,216","6,960","6,087"
"Raymond, Alberta","5,982","6,833","6,955","6,562","6,594","6,187","7,447","7,855","7,671","6,119"
"Wainwright, Alberta","6,018","6,707","6,767","6,421","6,448","6,129","7,254","7,525","7,270","6,226"
"Camrose County, Alberta","6,216","6,891","6,968","6,604","6,636","6,305","7,461","7,700","7,463","6,398"
"Fort Macleod, Alberta","6,233","7,207","7,348","6,926","6,949","6,505","7,855","8,383","8,183","6,368"
"High Level, Alberta","6,295","7,151","7,251","6,856","6,880","6,498","7,744","8,166","7,925","6,489"
"Greenview No. 16, Alberta","6,334","7,056","7,144","6,780","6,805","6,444","7,649","7,933","7,705","6,509"
"Westlock County, Alberta","6,447","7,244","7,344","6,946","6,984","6,610","7,873","8,218","7,994","6,622"
"Slave Lake, Alberta","6,507","7,370","7,513","7,098","7,117","6,666","8,017","8,413","8,222","6,649"
"Clearwater County, Alberta","6,512","7,158","7,188","6,823","6,870","6,589","7,712","7,906","7,574","6,809"
"Lac la Biche County, Alberta","6,527","7,223","7,306","6,930","6,961","6,608","7,812","8,067","7,800","6,741"
"Devon, Alberta","6,671","7,384","7,468","7,082","7,114","6,778","8,000","8,263","7,941","6,935"
"Newell County, Alberta","6,952","7,805","7,897","7,484","7,515","7,134","8,470","8,824","8,512","7,213"
"Drumheller, Alberta","7,224","8,004","8,085","7,668","7,705","7,325","8,655","8,935","8,630","7,482"
"Yellowhead County, Alberta","7,486","8,321","8,417","7,980","8,027","7,600","9,026","9,336","9,068","7,694"
"Peace River, Alberta","7,516","8,587","8,753","8,261","8,294","7,758","9,338","9,884","9,654","7,673"
"Edson, Alberta","7,538","8,333","8,438","8,012","8,037","7,595","9,007","9,281","9,004","7,766"
"Hinton, Alberta","7,572","8,444","8,565","8,122","8,140","7,693","9,130","9,487","9,206","7,800"
"Olds, Alberta","7,870","8,655","8,716","8,271","8,314","7,959","9,320","9,584","9,204","8,200"
"Morinville, Alberta","8,658","9,572","9,640","9,133","9,198","8,809","10,330","10,660","10,214","9,050"
"Whitecourt, Alberta","8,888","9,884","9,994","9,479","9,517","9,040","10,702","11,073","10,723","9,188"
"Bonnyville No. 87, Alberta","9,047","9,942","10,047","9,547","9,579","9,097","10,732","11,004","10,646","9,343"
"Drayton Valley, Alberta","9,104","9,983","10,061","9,561","9,598","9,187","10,760","11,037","10,602","9,481"
"Ponoka County, Alberta","9,333","10,417","10,550","9,993","10,038","9,484","11,287","11,691","11,388","9,571"
"Ponoka, Alberta","9,474","10,513","10,645","10,098","10,135","9,600","11,371","11,765","11,398","9,772"
"Innisfail, Alberta","9,496","10,476","10,582","10,047","10,096","9,597","11,331","11,643","11,237","9,855"
"Lethbridge County, Alberta","9,856","11,197","11,377","10,765","10,800","10,132","12,188","12,803","12,491","10,073"
"Coaldale, Alberta","9,943","11,197","11,346","10,746","10,784","10,185","12,146","12,682","12,329","10,241"
"Lacombe County, Alberta","10,016","11,170","11,316","10,712","10,771","10,190","12,123","12,565","12,194","10,318"
"Bonnyville, Alberta","10,114","11,365","11,544","10,917","10,948","10,339","12,327","12,863","12,500","10,405"
"Wheatland County, Alberta","11,095","12,508","12,691","12,011","12,048","11,355","13,589","14,191","13,834","11,367"
"Rocky Mountain House, Alberta","11,499","13,027","13,221","12,491","12,551","11,824","14,154","14,859","14,488","11,778"
"Taber, Alberta","13,016","14,745","14,986","14,168","14,219","13,362","16,020","16,822","16,390","13,329"
"Lac Ste. Anne County, Alberta","13,708","15,425","15,610","14,757","14,832","14,062","16,746","17,472","16,959","14,130"
"Blackfalds, Alberta","13,916","15,664","15,890","15,037","15,096","14,246","16,983","17,757","17,281","14,287"
"Wetaskiwin, Alberta","14,525","16,045","16,195","15,367","15,449","14,701","17,351","17,856","17,237","15,047"
