Geography,2021,2022,2023,2024,2025
"Calmar (T), Alberta","2,264","2,286","2,327","2,341","2,345"
"Nanton (T), Alberta","2,221","2,274","2,299","2,449","2,522"
"Redwater (T), Alberta","2,189","2,185","2,186","2,212","2,301"
"Provost No. 52 (MD), Alberta","2,123","2,126","2,114","2,088","2,092"
"Bow Island (T), Alberta","2,106","2,129","2,138","2,176","2,310"
"Tofield (T), Alberta","2,104","2,113","2,138","2,126","2,122"
"Paintearth County No. 18 (MD), Alberta","2,046","2,058","2,028","1,995","2,014"
"Picture Butte (T), Alberta","2,008","2,131","2,277","2,369","2,380"
"Smoky River No. 130 (MD), Alberta","1,960","1,906","1,890","1,895","1,941"
"Provost (T), Alberta","1,957","1,927","1,897","1,920","1,875"
"Millet (T), Alberta","1,951","1,924","1,958","1,979","1,967"
"Special Area No. 2 (SA), Alberta","1,899","1,927","1,940","1,898","1,837"
"Enoch Cree Nation (IRI), Alberta","1,897","1,918","1,944","1,940","1,947"
"Starland County (MD), Alberta","1,876","1,828","1,831","1,808","1,820"
"Fox Creek (T), Alberta","1,850","1,843","1,886","1,924","2,013"
"Vulcan (T), Alberta","1,809","1,824","1,839","1,897","1,922"
"Lamont (T), Alberta","1,789","1,768","1,789","1,807","1,856"
"Northern Sunrise County (MD), Alberta","1,764","1,765","1,827","1,827","1,848"
"Valleyview (T), Alberta","1,724","1,694","1,728","1,782","1,807"
"Bighorn No. 8 (MD), Alberta","1,646","1,657","1,768","1,844","1,857"
"Fairview No. 136 (MD), Alberta","1,626","1,603","1,616","1,629","1,647"
"Piikani 147 (IRI), Alberta","1,626","1,600","1,555","1,541","1,529"
"Peace No. 135 (MD), Alberta","1,620","1,603","1,580","1,574","1,581"
"Birch Hills County (MD), Alberta","1,567","1,557","1,546","1,535","1,522"
"Bon Accord (T), Alberta","1,514","1,524","1,475","1,440","1,457"
"Wembley (T), Alberta","1,501","1,529","1,500","1,516","1,516"
"Nobleford (T), Alberta","1,495","1,561","1,628","1,650","1,694"
"Two Hills (T), Alberta","1,461","1,521","1,552","1,596","1,698"
"Elk Point (T), Alberta","1,442","1,455","1,438","1,458","1,481"
"Bruderheim (T), Alberta","1,379","1,392","1,403","1,419","1,439"
"Mayerthorpe (T), Alberta","1,379","1,361","1,362","1,389","1,419"
"Louis Bull 138B (IRI), Alberta","1,370","1,382","1,377","1,394","1,394"
"Sturgeon Lake 154 (IRI), Alberta","1,334","1,339","1,325","1,329","1,326"
"Vauxhall (T), Alberta","1,330","1,384","1,414","1,442","1,451"
"Bowden (T), Alberta","1,323","1,297","1,309","1,316","1,315"
"Legal (T), Alberta","1,276","1,295","1,282","1,293","1,253"
"Special Area No. 4 (SA), Alberta","1,263","1,240","1,253","1,242","1,171"
"Bassano (T), Alberta","1,250","1,255","1,304","1,348","1,381"
"Swan Hills (T), Alberta","1,239","1,301","1,338","1,369","1,430"
"Irricana (T), Alberta","1,221","1,233","1,238","1,255","1,240"
"Stirling (VL), Alberta","1,205","1,209","1,243","1,312","1,350"
"Special Area No. 3 (SA), Alberta","1,174","1,096","1,079","1,049","1,043"
"Manning (T), Alberta","1,161","1,149","1,148","1,136","1,153"
"White Fish Lake 128 (IRI), Alberta","1,130","1,125","1,115","1,118","1,122"
"Alexander 134 (IRI), Alberta","1,112","1,112","1,116","1,123","1,139"
"Duchess (VL), Alberta","1,089","1,114","1,085","1,061","1,045"
"Bentley (T), Alberta","1,074","1,101","1,101","1,118","1,153"
"Kehewin 123 (IRI), Alberta","1,065","1,055","1,050","1,056","1,064"
"Smoky Lake (T), Alberta","1,052","1,074","1,086","1,149","1,159"
"Eckville (T), Alberta","1,048","1,080","1,107","1,115","1,088"
"Improvement District No. 9 Banff (ID), Alberta","1,047","1,064","1,108","1,129","1,144"
"Falher (T), Alberta","1,037","1,034","1,050","1,096","1,084"
"Trochu (T), Alberta","1,024","1,030","1,056","1,178","1,191"
"Spirit River (T), Alberta","1,022",998,"1,013",987,927
"Wabamun 133A (IRI), Alberta","1,018","1,014","1,014","1,005","1,005"
"Viking (T), Alberta","1,012",994,967,972,964
"Barnwell (VL), Alberta","1,008","1,026","1,044","1,063","1,073"
"Thorsby (T), Alberta",998,"1,003",992,981,928
"Onoway (T), Alberta",995,"1,020",998,992,957
"Hay Lake 209 (IRI), Alberta",992,975,956,942,942
